                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.11488,                0.94509,                      1,                0.19421,               0.070011,              0.0033321,              0.0033321
                      1,                0.04404,                0.97235,                      1,                0.17378,               0.039945,              0.0065994,              0.0065994
                      2,                0.02522,                0.97331,                      1,                0.17201,              0.0098131,              0.0098008,              0.0098008
                      3,                  0.016,                0.97655,                      1,                0.16998,               0.009703,               0.009703,               0.009703
                      4,                0.01044,                0.98284,                      1,                0.16576,               0.009703,               0.009703,               0.009703
                      5,                0.00804,                 0.9836,                      1,                0.16563,               0.009604,               0.009604,               0.009604
                      6,                0.00631,                0.98055,                      1,                0.16738,               0.009505,               0.009505,               0.009505
                      7,                0.00572,                0.98589,                      1,                0.16392,               0.009406,               0.009406,               0.009406
                      8,                 0.0051,                0.98665,                      1,                0.16356,               0.009307,               0.009307,               0.009307
                      9,                 0.0043,                0.98379,                      1,                0.16466,               0.009208,               0.009208,               0.009208
                     10,                0.00396,                0.98398,                      1,                0.16485,               0.009109,               0.009109,               0.009109
                     11,                0.00385,                0.98208,                      1,                0.16497,                0.00901,                0.00901,                0.00901
                     12,                0.00386,                0.98742,                      1,                0.16262,               0.008911,               0.008911,               0.008911
                     13,                0.00345,                0.98932,                      1,                0.16244,               0.008812,               0.008812,               0.008812
                     14,                 0.0037,                0.98704,                      1,                0.16303,               0.008713,               0.008713,               0.008713
                     15,                0.00389,                0.98704,                      1,                0.16302,               0.008614,               0.008614,               0.008614
                     16,                0.00275,                0.98742,                      1,                0.16287,               0.008515,               0.008515,               0.008515
                     17,                0.00406,                0.98684,                      1,                0.16329,               0.008416,               0.008416,               0.008416
                     18,                 0.0029,                0.98799,                      1,                  0.163,               0.008317,               0.008317,               0.008317
                     19,                0.00293,                0.98799,                      1,                0.16286,               0.008218,               0.008218,               0.008218
                     20,                 0.0029,                0.98856,                      1,                0.16261,               0.008119,               0.008119,               0.008119
                     21,                0.00266,                0.98837,                      1,                0.16247,                0.00802,                0.00802,                0.00802
                     22,                0.00257,                0.98837,                      1,                0.16226,               0.007921,               0.007921,               0.007921
                     23,                0.00262,                0.98856,                      1,                0.16213,               0.007822,               0.007822,               0.007822
                     24,                0.00221,                0.98894,                      1,                0.16191,               0.007723,               0.007723,               0.007723
                     25,                0.00245,                0.98951,                      1,                0.16183,               0.007624,               0.007624,               0.007624
                     26,                0.00278,                0.98951,                      1,                0.16178,               0.007525,               0.007525,               0.007525
                     27,                0.00245,                 0.9899,                      1,                0.16174,               0.007426,               0.007426,               0.007426
                     28,                0.00264,                0.99009,                      1,                0.16172,               0.007327,               0.007327,               0.007327
                     29,                0.00233,                0.99028,                      1,                0.16169,               0.007228,               0.007228,               0.007228
                     30,                0.00254,                 0.9899,                      1,                0.16166,               0.007129,               0.007129,               0.007129
                     31,                0.00236,                 0.9899,                      1,                0.16167,                0.00703,                0.00703,                0.00703
                     32,                0.00208,                 0.9899,                      1,                0.16163,               0.006931,               0.006931,               0.006931
                     33,                0.00212,                 0.9899,                      1,                0.16162,               0.006832,               0.006832,               0.006832
                     34,                0.00212,                 0.9897,                      1,                 0.1616,               0.006733,               0.006733,               0.006733
                     35,                0.00235,                0.99028,                      1,                0.16159,               0.006634,               0.006634,               0.006634
                     36,                0.00181,                0.99028,                      1,                0.16157,               0.006535,               0.006535,               0.006535
                     37,                0.00191,                0.99009,                      1,                0.16153,               0.006436,               0.006436,               0.006436
                     38,                0.00212,                 0.9899,                      1,                 0.1615,               0.006337,               0.006337,               0.006337
                     39,                0.00156,                 0.9899,                      1,                0.16146,               0.006238,               0.006238,               0.006238
                     40,                0.00167,                0.99009,                      1,                0.16153,               0.006139,               0.006139,               0.006139
                     41,                0.00121,                 0.9897,                      1,                0.16152,                0.00604,                0.00604,                0.00604
                     42,                0.00183,                0.99009,                      1,                0.16149,               0.005941,               0.005941,               0.005941
                     43,                0.00137,                0.99009,                      1,                0.16147,               0.005842,               0.005842,               0.005842
                     44,                0.00173,                0.99028,                      1,                0.16147,               0.005743,               0.005743,               0.005743
                     45,                0.00182,                0.99066,                      1,                0.16134,               0.005644,               0.005644,               0.005644
                     46,                0.00157,                0.99066,                      1,                0.16133,               0.005545,               0.005545,               0.005545
                     47,                0.00163,                0.99066,                      1,                0.16133,               0.005446,               0.005446,               0.005446
                     48,                0.00126,                0.99085,                      1,                0.16132,               0.005347,               0.005347,               0.005347
                     49,                0.00154,                0.99123,                      1,                0.16127,               0.005248,               0.005248,               0.005248
                     50,                0.00194,                0.99123,                      1,                0.16125,               0.005149,               0.005149,               0.005149
                     51,                0.00142,                0.99104,                      1,                0.16124,                0.00505,                0.00505,                0.00505
                     52,                0.00126,                0.99142,                      1,                0.16124,               0.004951,               0.004951,               0.004951
                     53,                0.00141,                0.99161,                      1,                0.16125,               0.004852,               0.004852,               0.004852
                     54,                0.00124,                0.99142,                      1,                0.16133,               0.004753,               0.004753,               0.004753
                     55,                0.00123,                0.99142,                      1,                0.16136,               0.004654,               0.004654,               0.004654
                     56,                0.00146,                0.99142,                      1,                0.16127,               0.004555,               0.004555,               0.004555
                     57,                0.00121,                0.99161,                      1,                0.16125,               0.004456,               0.004456,               0.004456
                     58,                0.00124,                 0.9918,                      1,                0.16121,               0.004357,               0.004357,               0.004357
                     59,                0.00133,                0.99142,                      1,                0.16126,               0.004258,               0.004258,               0.004258
                     60,                0.00121,                0.99199,                      1,                0.16124,               0.004159,               0.004159,               0.004159
                     61,                0.00099,                0.99218,                      1,                0.16122,                0.00406,                0.00406,                0.00406
                     62,                0.00081,                 0.9918,                      1,                0.16125,               0.003961,               0.003961,               0.003961
                     63,                0.00116,                0.99161,                      1,                0.16118,               0.003862,               0.003862,               0.003862
                     64,                 0.0009,                0.99142,                      1,                0.16113,               0.003763,               0.003763,               0.003763
                     65,                0.00089,                0.99161,                      1,                0.16117,               0.003664,               0.003664,               0.003664
