               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047489,            0.013874,           0.0048135,              0.6953,              0.7551,             0.79768,             0.44359,            0.057566,           0.0074367,           0.0028772,            0.009307,            0.009307,            0.009307
                  37,            0.067169,            0.017454,           0.0052318,              0.6345,             0.61224,             0.65702,             0.23551,            0.059849,            0.007009,           0.0027378,           0.0092872,           0.0092872,           0.0092872
                  38,            0.057866,            0.015646,           0.0052585,             0.90219,             0.59184,             0.80513,             0.45395,            0.063019,           0.0067865,           0.0028219,           0.0092674,           0.0092674,           0.0092674
                  39,            0.061785,            0.014053,           0.0053576,             0.94956,             0.61224,             0.83512,             0.51596,            0.048059,           0.0066766,            0.002753,           0.0092476,           0.0092476,           0.0092476
                  40,            0.043278,            0.015104,           0.0049178,             0.86903,             0.61224,             0.76163,             0.51375,            0.061185,           0.0066251,           0.0026781,           0.0092278,           0.0092278,           0.0092278
                  41,            0.059715,            0.016407,           0.0048084,             0.76074,             0.84364,             0.89505,             0.37003,            0.054038,           0.0062659,           0.0026671,            0.009208,            0.009208,            0.009208
                  42,            0.063377,            0.014496,           0.0046789,             0.76196,             0.79592,             0.85341,             0.40808,            0.046406,           0.0059824,           0.0029077,           0.0091882,           0.0091882,           0.0091882
                  43,             0.04693,            0.012429,           0.0046074,              0.7133,              0.7551,             0.85965,             0.35191,            0.046208,           0.0060222,           0.0027812,           0.0091684,           0.0091684,           0.0091684
                  44,            0.041143,            0.013239,           0.0045038,             0.60835,             0.89796,             0.83426,             0.55199,             0.04115,           0.0056619,           0.0028662,           0.0091486,           0.0091486,           0.0091486
                  45,            0.048337,            0.014103,           0.0045978,             0.79775,             0.80508,             0.88504,             0.41526,            0.045028,           0.0055134,           0.0027572,           0.0091288,           0.0091288,           0.0091288
                  46,            0.042201,            0.017085,           0.0043703,             0.87489,             0.71358,             0.89678,             0.64625,            0.037428,           0.0056248,           0.0028212,            0.009109,            0.009109,            0.009109
                  47,            0.053861,            0.016223,           0.0047085,             0.84316,             0.83673,             0.91507,             0.50179,            0.047016,            0.005534,            0.002665,           0.0090892,           0.0090892,           0.0090892
                  48,            0.051385,            0.015624,           0.0043355,             0.58335,             0.79592,             0.76959,             0.53396,            0.045442,           0.0057857,           0.0026323,           0.0090694,           0.0090694,           0.0090694
                  49,            0.053566,            0.013419,           0.0045098,             0.68572,             0.81633,             0.81164,              0.3784,            0.053313,           0.0055957,           0.0026102,           0.0090496,           0.0090496,           0.0090496
                  50,            0.047845,            0.011454,           0.0040027,             0.82896,             0.79592,             0.90554,              0.6829,            0.045442,           0.0054092,           0.0027006,           0.0090298,           0.0090298,           0.0090298
