                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.1585,                    0.6,                      1,                0.39442,               0.070857,              0.0032381,              0.0032381
                      1,                0.08339,                      1,                      1,                0.22184,               0.040792,              0.0065064,              0.0065064
                      2,                0.01347,                      1,                      1,                0.18803,               0.010661,              0.0097086,              0.0097086
                      3,                0.00327,                      1,                      1,                0.18387,               0.009703,               0.009703,               0.009703
                      4,                0.00162,                      1,                      1,                0.18362,               0.009703,               0.009703,               0.009703
                      5,                0.00136,                      1,                      1,                0.18358,               0.009604,               0.009604,               0.009604
                      6,                0.01029,                      1,                      1,                0.18361,               0.009505,               0.009505,               0.009505
                      7,                0.02271,                      1,                      1,                 0.1848,               0.009406,               0.009406,               0.009406
                      8,                0.01005,                   0.96,                      1,                0.22247,               0.009307,               0.009307,               0.009307
                      9,                0.01147,                      1,                      1,                0.18383,               0.009208,               0.009208,               0.009208
                     10,                0.00447,                      1,                      1,                0.18374,               0.009109,               0.009109,               0.009109
                     11,                0.00209,                      1,                      1,                0.18369,                0.00901,                0.00901,                0.00901
                     12,                0.00054,                      1,                      1,                0.18364,               0.008911,               0.008911,               0.008911
                     13,                0.00209,                      1,                      1,                0.18369,               0.008812,               0.008812,               0.008812
                     14,                0.00106,                      1,                      1,                0.18367,               0.008713,               0.008713,               0.008713
                     15,                0.00094,                      1,                      1,                0.18379,               0.008614,               0.008614,               0.008614
                     16,                0.00026,                      1,                      1,                0.18374,               0.008515,               0.008515,               0.008515
                     17,                0.00035,                      1,                      1,                 0.1837,               0.008416,               0.008416,               0.008416
                     18,                0.00087,                      1,                      1,                0.18367,               0.008317,               0.008317,               0.008317
                     19,                0.00013,                      1,                      1,                0.18365,               0.008218,               0.008218,               0.008218
                     20,                0.00126,                      1,                      1,                0.18362,               0.008119,               0.008119,               0.008119
                     21,                 0.0006,                      1,                      1,                0.18363,                0.00802,                0.00802,                0.00802
                     22,                0.00016,                      1,                      1,                0.18362,               0.007921,               0.007921,               0.007921
                     23,                  5e-05,                      1,                      1,                0.18362,               0.007822,               0.007822,               0.007822
                     24,                0.00011,                      1,                      1,                 0.1836,               0.007723,               0.007723,               0.007723
                     25,                0.00064,                      1,                      1,                0.18365,               0.007624,               0.007624,               0.007624
                     26,                0.00012,                      1,                      1,                0.18364,               0.007525,               0.007525,               0.007525
                     27,                  3e-05,                      1,                      1,                0.18365,               0.007426,               0.007426,               0.007426
                     28,                0.00031,                      1,                      1,                0.18378,               0.007327,               0.007327,               0.007327
                     29,                  2e-05,                      1,                      1,                0.18369,               0.007228,               0.007228,               0.007228
                     30,                 0.0007,                      1,                      1,                0.18366,               0.007129,               0.007129,               0.007129
                     31,                  6e-05,                      1,                      1,                0.18382,                0.00703,                0.00703,                0.00703
                     32,                  4e-05,                      1,                      1,                0.18371,               0.006931,               0.006931,               0.006931
                     33,                0.00014,                      1,                      1,                0.18363,               0.006832,               0.006832,               0.006832
                     34,                  5e-05,                      1,                      1,                0.18366,               0.006733,               0.006733,               0.006733
                     35,                  3e-05,                      1,                      1,                0.18367,               0.006634,               0.006634,               0.006634
                     36,                  7e-05,                      1,                      1,                0.18363,               0.006535,               0.006535,               0.006535
                     37,                  3e-05,                      1,                      1,                0.18368,               0.006436,               0.006436,               0.006436
                     38,                  8e-05,                      1,                      1,                0.18367,               0.006337,               0.006337,               0.006337
                     39,                  3e-05,                      1,                      1,                0.18379,               0.006238,               0.006238,               0.006238
                     40,                0.00025,                      1,                      1,                0.18363,               0.006139,               0.006139,               0.006139
                     41,                  7e-05,                      1,                      1,                0.18365,                0.00604,                0.00604,                0.00604
                     42,                  4e-05,                      1,                      1,                0.18361,               0.005941,               0.005941,               0.005941
                     43,                 0.0003,                      1,                      1,                0.18378,               0.005842,               0.005842,               0.005842
                     44,                  7e-05,                      1,                      1,                 0.1839,               0.005743,               0.005743,               0.005743
                     45,                  8e-05,                      1,                      1,                0.18384,               0.005644,               0.005644,               0.005644
                     46,                  3e-05,                      1,                      1,                0.18374,               0.005545,               0.005545,               0.005545
                     47,                0.00012,                      1,                      1,                0.18366,               0.005446,               0.005446,               0.005446
                     48,                0.00014,                      1,                      1,                0.18375,               0.005347,               0.005347,               0.005347
                     49,                  6e-05,                      1,                      1,                0.18366,               0.005248,               0.005248,               0.005248
                     50,                0.00012,                      1,                      1,                0.18362,               0.005149,               0.005149,               0.005149
                     51,                  6e-05,                      1,                      1,                0.18367,                0.00505,                0.00505,                0.00505
                     52,                0.00026,                      1,                      1,                 0.1836,               0.004951,               0.004951,               0.004951
                     53,                  2e-05,                      1,                      1,                0.18361,               0.004852,               0.004852,               0.004852
                     54,                0.00019,                      1,                      1,                0.18361,               0.004753,               0.004753,               0.004753
                     55,                  3e-05,                      1,                      1,                0.18362,               0.004654,               0.004654,               0.004654
                     56,                0.00014,                      1,                      1,                0.18359,               0.004555,               0.004555,               0.004555
                     57,                  5e-05,                      1,                      1,                 0.1836,               0.004456,               0.004456,               0.004456
                     58,                  2e-05,                      1,                      1,                0.18364,               0.004357,               0.004357,               0.004357
                     59,                  2e-05,                      1,                      1,                0.18367,               0.004258,               0.004258,               0.004258
                     60,                  3e-05,                      1,                      1,                0.18362,               0.004159,               0.004159,               0.004159
                     61,                  2e-05,                      1,                      1,                0.18363,                0.00406,                0.00406,                0.00406
                     62,                  4e-05,                      1,                      1,                0.18362,               0.003961,               0.003961,               0.003961
                     63,                  5e-05,                      1,                      1,                0.18367,               0.003862,               0.003862,               0.003862
                     64,                  8e-05,                      1,                      1,                0.18361,               0.003763,               0.003763,               0.003763
                     65,                  3e-05,                      1,                      1,                 0.1836,               0.003664,               0.003664,               0.003664
                     66,                  6e-05,                      1,                      1,                 0.1836,               0.003565,               0.003565,               0.003565
                     67,                  2e-05,                      1,                      1,                0.18358,               0.003466,               0.003466,               0.003466
